DISTRICT,hot_days,temperature
LEHRI,3889,40.47
NASIRABAD,3855,39.94
JAFFARABAD,3799,39.56
SUKKUR,3686,39.23
SOHBATPUR,3683,39.18
JACOBABAD,3674,39.1
LARKANA,3584,39.08
SHIKARPHUR,3529,38.74
GHOTKI,3528,38.88
JHAL MAGSI,3524,39.4
NAUSHAHRO FEROZ,3446,38.78
KASHMORE,3408,38.39
SHAHDAD KOT,3338,38.62
R Y KHAN,3276,38.4
KHAIRPUR,3240,38.4
DADU,3172,38.39
BAHAWALPUR,3069,38.14
S. BENAZIRABAD,3032,37.96
CHAGAI,2917,37.79
WASHUK,2731,37.57
KACHHI,2682,37.3
MUZAFARGARH,2673,37.32
RAJANPUR,2662,37.25
MULTAN,2568,37.1
DERA BUGTI,2535,37.05
LAYYAH,2508,37.19
LODHRAN,2462,36.92
KHANEWAL,2383,36.75
BAHAWALNAGAR,2352,36.76
JHANG,2300,36.73
VEHARI,2296,36.61
SANGHAR,2267,36.71
BHAKKAR,2232,36.83
KHARAN,2214,36.22
SIBI,2051,36.0
SAHIWAL,2037,36.16
T. T SINGH,2026,36.17
D G KHAN,1985,35.72
PAKPATTAN,1985,36.08
UMERKOT,1857,35.92
D I KHAN,1849,35.94
NUSHKI,1844,35.63
CHINIOT,1817,35.91
FAISALABAD,1736,35.7
MATIARI,1703,35.93
OKARA,1679,35.55
KHUSHAB,1532,35.31
THARPARKAR,1515,35.06
SARGODHA,1513,35.37
KECH,1481,35.68
T. AYAR,1456,35.57
NANKANA SAHIB,1441,35.15
HAFIZABAD,1402,35.05
TANK,1349,34.68
KASUR,1340,34.84
PANJGUR,1316,35.3
CHARSADDA,1297,34.6
MIRPURKHAS,1251,35.25
KOHLU,1248,34.13
LAKKI MARWAT,1226,34.57
MANDI BAHAUDDIN,1209,34.62
AWARAN,1206,35.02
MIANWALI,1199,34.69
SHEIKHUPURA,1197,34.45
JAMSHORO,1190,34.51
GUJRANWALA,1166,34.36
BANNU,1150,33.95
LAHORE,1112,34.29
FR PESHAWAR,846,33.42
GUJRAT,846,33.65
PESHAWAR,839,33.09
HYDERABAD,832,34.56
NOWSHERA,831,33.59
KARAK,808,32.83
FR TANK,766,32.71
MARDAN,755,33.17
ATTOCK,754,33.44
KOHAT,735,32.84
JHELUM,733,33.4
SIALKOT,718,33.32
BADIN,692,34.16
KHUZDAR,579,32.85
NAROWAL,561,32.93
T. M KHAN,552,34.1
FR KOHAT,543,32.38
MALAKAND PROTECTED AREA,508,32.11
BHIMBER,493,32.13
CHAKWAL,441,32.39
SWABI,433,32.27
LASBELA,416,32.57
MOHMAND AGENCY,380,31.38
GWADAR,371,32.37
MIRPUR,313,31.66
RAWALPINDI,276,30.97
LORALAI,229,31.18
KHYBER AGENCY,215,30.01
HANGU,213,29.01
BARKHAN,207,30.26
THATTA,206,32.23
HARIPUR,185,30.25
HARNAI,180,28.76
N. WAZIRASTAN,144,26.93
MUSA KHEL,136,29.31
BUNER,124,29.45
KOTLI,123,29.95
SUJJAWAL,121,31.96
S. WAZIRASTAN,119,27.61
ISLAMABAD,116,29.89
FR D.I.KHAN,110,29.47
KILLA ABDULLAH,76,30.63
MALIR,75,31.03
SHEERANI,44,28.34
QUETTA,30,30.68
KALAT,26,29.2
ZHOB,19,29.07
INDIAN OCCUPIED KASHMIR,17,9.76
BAJAUR AGENCY,16,28.16
KILLA SAIFULLAH,10,28.42
LOWER DIR,10,26.29
ZIARAT,4,26.47
SUDHNOTI,4,27.07
ORAKZAI AGENCY,3,25.84
KURRAM AGENCY,2,24.53
PISHIN,1,28.19
MASTUNG,1,29.3
ASTORE,0,8.44
ABBOTTABAD,0,25.98
BAGH,0,22.77
BATAGRAM,0,23.23
DIAMIR,0,12.81
CHITRAL,0,8.24
GHIZER,0,7.17
GILGIT,0,12.16
HUNZA NAGAR,0,0.54
HAVELI,0,19.17
HATTIAN BALA,0,18.57
LOWER KOHISTAN,0,14.16
GHANCHE,0,-0.55
MANSEHRA,0,16.41
MUZAFFARABAD,0,20.99
POONCH,0,24.25
NEELUM,0,10.75
SKARDU,0,3.31
SHANGLA,0,21.9
SWAT,0,15.66
UPPER KOHISTAN,0,14.74
UPPER DIR,0,14.97
